Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
DMPP-1 d,2019,2,0,F8 V,3,5922,2,86,-10,1,4,1.3781727464139675,1.9854642206352437,No
Kepler-129 b,2014,15,0,G4 V,20,5496,2,285,47,2,8,1.626685732085224,2.343484390963957,No
BD+20 274 b,2012,578,1,K5 III,1334,4022,91,25,21,13,3,9.105497037783424,13.117832018272136,No
WASP-100 b,2014,2,0,F2,400,6626,5,68,-64,14,0,2.303051541431192,3.3178906241532795,No
TOI-776 c,2020,15,0,M1 V,5,3435,0,178,-37,2,3,0.21101030120663133,0.30399193738329056,No
Kepler-1655 b,2018,11,0,G0 V,5,5874,1,286,39,2,2,1.1240966600355364,1.6194295706713575,No
HD 111232 b,2003,1169,2,G8 V,2531,5238,0,192,-68,12,6,0.7921431251761618,1.141200794132548,No
HD 16175 b,2009,990,2,G2,1875,5707,3,39,42,12,4,1.7112113708458734,2.4652562311939183,Yes
WASP-156 b,2017,3,0,K3,40,4636,0,32,2,5,1,0.5778347518562762,0.8324574899884651,No
WASP-159 b,2018,3,0,F9,174,5846,4,68,-38,15,0,2.0811513133696318,2.9982101163842696,No
WASP-164 b,2018,1,0,G2 V,676,5532,0,344,-60,12,1,0.8826807542060666,1.2716338066324395,No
GJ 317 b,2007,695,1,M2.5 V,794,3219,0,130,-23,13,1,0.13671106213085588,0.19695275728832629,No
GJ 317 c,2018,6739,5,M2.5 V,522,3219,0,130,-23,13,1,0.13671106213085588,0.19695275728832629,No
GJ 581 c,2007,12,0,M3 V,5,3122,0,229,-7,2,2,0.10884379042096394,0.1568057793055737,No
GJ 86 b,1999,15,0,K1V,1404,4908,0,32,-50,12,3,0.6085603561641589,0.8767223241099006,No
HD 117618 b,2004,25,0,G2 V,55,5716,1,203,-47,8,0,1.218438623773861,1.7553432970124871,No
HD 12484 b,2016,58,0,F8,947,5646,1,30,2,13,2,0.9779207412683963,1.4088412700495254,No
GJ 876 d,2005,1,0,M4 V,6,3020,0,343,-14,2,2,0.10612156779032282,0.15288400995713386,No
GJ 96 b,2018,73,0,M2,19,3511,0,35,47,4,1,0.28399039869140913,0.40913069647682904,Yes
HATS-16 b,2016,2,0,G3 V,1039,5464,1,358,-30,14,1,1.1635998522261988,1.6763398345693485,No
HATS-26 b,2016,3,0,F,206,5797,5,144,-28,19,0,2.1443894278349087,3.0893140900899936,No
TOI-4479 b,2022,1,0,M3.0,8,3126,0,316,24,2,2,0.1504193326030567,0.21670157369770984,No
Kepler-75 b,2013,8,0,K0 V,3209,4926,0,291,36,11,11,0.744395360031561,1.0724129882812317,No
