Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
TOI-1696 b,2022,2,0,M5V,48,2911,0,65,48,3,9,0.08040881417387302,0.1158409379240319,No
VHS J125601.92-125723.9 b,2015,5800000,350,M7.5,5085,2346,0,194,-12,13,10,0.02566277743196784,0.036971073855492524,No
NGTS-12 b,2020,7,0,G,66,5416,2,176,-35,11,0,1.4070309721838712,2.027038816335417,No
HD 3167 c,2016,29,0,K0 V,11,4987,0,8,4,3,2,0.6987207768293118,1.006611911473946,No
K2-312 c,2023,921,1,G2,1719,5685,1,140,14,12,4,1.2453850769954005,1.7941636980714974,No
TOI-1288 b,2022,2,0,G V,42,4951,0,313,65,5,1,0.7866900502587589,1.1333448231237477,No
TOI-4342 c,2023,10,0,M0 V,6,3627,0,324,-77,2,2,0.26049755860137874,0.3752857423074554,No
KELT-24 b,2019,5,0,F7,1646,6235,3,161,71,14,3,1.8272739270640408,2.6324617236303656,No
TOI-4342 b,2023,5,0,M0 V,5,3627,0,324,-77,2,2,0.26049755860137874,0.3752857423074554,No
K2-8 b,2015,10,0,K3 V,12,4596,0,169,0,3,1,0.5044331940301783,0.7267115541601631,No
WASP-171 b,2019,3,0,G0,344,5691,4,171,-44,10,1,2.066824768499685,2.977570583119214,No
WASP-175 b,2019,3,0,F7,314,5955,6,166,-34,13,0,2.364850317596267,3.406921015498682,No
PZ Tel b,2023,44000,27,G9 IV,8581,4895,1,283,-50,11,28,0.9611776360612374,1.3847203197422115,No
WASP-28 b,2014,3,0,F8,282,5810,1,353,-1,13,0,1.1331924110962535,1.6325333621502192,No
GJ 357 c,2019,9,0,M2.5 V,3,3231,0,144,-21,1,4,0.1203105348312203,0.17332534175735842,No
GJ 9827 b,2017,1,0,K6 V,5,4031,0,351,-1,1,7,0.3223321740618423,0.4643677655247482,No
K2-38 c,2016,10,0,G2 V,7,5431,1,240,-23,2,2,0.9949555007561591,1.4333823920228668,No
HD 3167 e,2022,96,0,K0 V,8,4987,0,8,4,2,2,0.6987207768293118,1.006611911473946,No
WASP-44 b,2011,2,0,G8 V,276,5146,0,3,-11,12,0,0.7591081557009856,1.0936089736634482,No
K2-141 c,2018,7,0,K7 V,8,4296,0,350,-1,7,0,0.4020718400348288,0.5792446952614033,No
AU Mic b,2020,8,0,M1,20,3314,0,311,-31,4,1,0.28595892609222984,0.4119666549819144,No
Kepler-210 c,2014,7,0,M0 V,12,4285,0,292,43,3,1,0.38001755325460457,0.5474721925561356,No
TOI-620 b,2022,5,0,M2.5 V,13,3434,0,142,-12,3,1,0.21642312189147117,0.31178991614206925,No
Kepler-159 c,2014,43,0,M0 V,11,4351,0,297,40,3,1,0.40022448773516517,0.5765833076353352,No
EPIC 220674823 b,2016,0,0,G5 V,8,5258,0,13,10,1,8,0.8313878194376293,1.1977386530538334,No
Kepler-17 b,2011,1,0,G2 V,778,5507,1,298,47,14,1,0.9667265751100809,1.3927143973878706,No
XO-7 b,2019,2,0,G0 V,225,5976,2,277,85,15,0,1.5660429090966013,2.2561193232715935,No
HD 184010 d,2022,836,1,K0 III-IV,143,4697,13,292,26,14,0,3.4498773667261204,4.970064961041248,No
KOI-7913 b,2022,24,0,K6 V,6,4050,0,286,45,2,2,0.3938253407289632,0.5673643781096581,No
GJ 357 d,2019,55,0,M2.5 V,6,3231,0,144,-21,2,2,0.1203105348312203,0.17332534175735842,No
HD 63433 b,2020,7,0,G5IV,5,5366,0,117,27,2,2,0.8275679393882893,1.1922355438211067,No
K2-110 b,2017,13,0,K3 V,15,4736,0,207,-12,2,5,0.49636786504025626,0.7150922399785342,No
Kepler-231 b,2014,10,0,M1 V,35,3493,0,293,50,1,37,0.2892701743971245,0.4167370040198809,No
